Espece,Info,Race,Categorie,URL
chien,350,Berger Roumain des Carpathes,Groupe 1,https://i.imgur.com/mAHjk75.jpg
chien,142,Tchouvatch Slovaque,Groupe 1,https://i.imgur.com/gLKOC8s.jpg
chien,59,Chien courant Bernois,Groupe 6,https://i.imgur.com/QTRO1xm.jpg
chien,215,Bichon Frisé,Groupe 9,https://i.imgur.com/ABJrnRX.jpg
chien,250,Bichon Havanais,Groupe 9,https://i.imgur.com/kGfjzhA.jpg
chien,25,Billy,Groupe 6,https://i.imgur.com/dWReF0J.jpg
chien,180,Braque d'Auvergne,Groupe 7,https://i.imgur.com/QT97lav.jpg
chien,16,Bobtail,Groupe 1,https://i.imgur.com/nNolyoy.jpg
chien,196,Bichon Bolonais,Groupe 9,https://i.imgur.com/SNk5xY2.jpg
chien,297,Border Collie,Groupe 1,https://i.imgur.com/jXDv4fy.jpg
chien,10,Border Terrier,Groupe 3,https://i.imgur.com/U8yjYkf.jpg
chien,149,Bouledogue Anglais,Groupe 2,https://i.imgur.com/OY9HGD6.jpg
chien,101,Bouledogue Français,Groupe 9,https://i.imgur.com/ow950dT.jpg
chien,46,Bouvier d'Appenzell,Groupe 2,https://i.imgur.com/m4adrqp.jpg
chien,287,Bouvier Australien,Groupe 1,https://i.imgur.com/YXkdWpA.jpg
chien,45,Bouvier Bernois,Groupe 2,https://i.imgur.com/PLSUKe4.jpg
chien,47,Bouvier de l'Entlebuch,Groupe 2,https://i.imgur.com/FdKWkhY.jpg
chien,171,Bouvier des Ardennes,Groupe 1,https://i.imgur.com/Xb4EPxF.jpg
chien,191,Bouvier des Flandres,Groupe 1,https://i.imgur.com/2bPODmp.jpg
chien,144,Boxer,Groupe 2,https://i.imgur.com/ve5qrbK.jpg
chien,299,Brachet Allemand,Groupe 6,https://i.imgur.com/e2SISFZ.jpg
chien,63,Brachet Autrichien Noir et Feu,Groupe 6,https://i.imgur.com/840YCeJ.jpg
chien,62,Brachet de Styrie à Poil Dur,Groupe 6,https://i.imgur.com/080Zb2R.jpg
chien,52,Brachet Polonais,Groupe 6,https://i.imgur.com/o2uDuEC.jpg
chien,68,Brachet Tyrolien,Groupe 6,https://i.imgur.com/2Mljgjb.jpg
chien,119,Braque Allemand à Poil Court,Groupe 7,https://i.imgur.com/jw6oWrM.jpg
chien,90,Perdiguero de Burgos,Groupe 7,https://i.imgur.com/aGcqi09.jpg
chien,177,Braque de l'Ariège,Groupe 7,https://i.imgur.com/mHN37RE.jpg
chien,179,Braque du Bourbonnais,Groupe 7,https://i.imgur.com/jJO4P5c.jpg
chien,133,Braque français type Gascogne,Groupe 7,https://i.imgur.com/MxefPtR.jpg
chien,134,Braque français type Pyrénées,Groupe 7,https://i.imgur.com/uZyPXEI.jpg
chien,57,Vizsla à Poil Court,Groupe 7,https://i.imgur.com/OUtdRZ3.jpg
chien,239,Vizsla à Poil Dur,Groupe 7,https://i.imgur.com/B1aG7Fo.jpg
chien,202,Braque Italien,Groupe 7,https://i.imgur.com/pfhilka.jpg
chien,115,Braque Saint-Germain,Groupe 7,https://i.imgur.com/9u88blV.jpg
chien,320,Braque Slovaque à Poil Dur,Groupe 7,https://i.imgur.com/IiSjd3C.jpg
chien,113,Berger de Brie,Groupe 1,https://i.imgur.com/kWaAsmg.jpg
chien,19,Briquet Griffon Vendéen,Groupe 6,https://i.imgur.com/51aOvcU.jpg
chien,315,Broholmer,Groupe 2,https://i.imgur.com/u8YK7xT.jpg
chien,113,Berger de Brie,Groupe 1,https://i.imgur.com/1iJbI7x.jpg
chien,19,Briquet Griffon Vendéen,Groupe 6,https://i.imgur.com/fkf35H6.jpg
chien,315,Broholmer,Groupe 2,https://i.imgur.com/blP4xij.jpg
chien,11,Bull Terrier,Groupe 3,https://i.imgur.com/CkqD3f1.jpg
chien,359,Bull Terrier miniature,Groupe 3,https://i.imgur.com/ITiGSMC.jpg
chien,157,Bullmastiff,Groupe 2,https://i.imgur.com/ed8FQj6.jpg
chien,249,Dogue de Majorque,Groupe 2,https://i.imgur.com/rnRF8BQ.jpg
chien,4,Cairn Terrier,Groupe 3,https://i.imgur.com/dYCxDWC.jpg
chien,343,Cane Corso,Groupe 2,https://i.imgur.com/dwNSksp.jpg
chien,172,Caniche,Groupe 9,https://i.imgur.com/PmlBH1a.jpg
chien,253,Carlin,Groupe 9,https://i.imgur.com/p4UwFzm.jpg
chien,136,Cavalier King Charles Spaniel,Groupe 9,https://i.imgur.com/lzMvRPA.jpg
chien,246,Terrier Tchèque,Groupe 3,https://i.imgur.com/Q27lnCE.jpg
chien,366,Chien courant d'Estonie,Groupe 6,https://i.imgur.com/oSmJsem.jpg
chien,152,Chien Courant d'Istrie à Poil Dur,Groupe 6,https://i.imgur.com/6quRwj6.jpg
chien,151,Chien Courant d'Istrie à Poil Ras,Groupe 6,https://i.imgur.com/PEtyDrX.jpg
chien,279,Chien Courant de Montagne du Monténégro,Groupe 6,https://i.imgur.com/dbzyPys.jpg
chien,154,Chien Courant de Posavatz,Groupe 6,https://i.imgur.com/WAd5Edf.jpg
chien,241,Chien Courant de Transylvanie,Groupe 6,https://i.imgur.com/zYv6CjV.jpg
chien,129,Chien Courant du Smaland,Groupe 6,https://i.imgur.com/T3AMncl.jpg
chien,204,Chien Courant Espagnol,Groupe 6,https://i.imgur.com/H5Pkmg3.jpg
chien,51,Chien Courant Finlandais,Groupe 6,https://i.imgur.com/OmWRM8t.jpg
chien,214,Chien Courant Grec,Groupe 6,https://i.imgur.com/fkNb5Ai.jpg
chien,267,Chien Courant de Halden,Groupe 6,https://i.imgur.com/19C2lGi.jpg
chien,132,Chien Courant de Hamilton,Groupe 6,https://i.imgur.com/TlXVupV.jpg
chien,266,Chien Courant de Hygen,Groupe 6,https://i.imgur.com/MqV7m1v.jpg
chien,337,Chien Courant Italien à Poil Ras,Groupe 6,https://i.imgur.com/HdOL1z0.jpg
chien,198,Chien Courant Italien à Poil Dur,Groupe 6,https://i.imgur.com/Q02dWqF.jpg
chien,150,Chien Courant Serbe,Groupe 6,https://i.imgur.com/Nc73WPu.jpg
chien,244,Chien Courant Slovaque,Groupe 6,https://i.imgur.com/VQMGhp9.jpg
chien,229,Chien Courant Tricolore Serbe,Groupe 6,https://i.imgur.com/Fg05LXK.jpg
chien,232,Chien d'Arrêt Allemand à Poil Raide,Groupe 7,https://i.imgur.com/yMFFwRh.jpg
chien,281,Chien d'Arrêt Danois Ancestral,Groupe 7,https://i.imgur.com/RmTrdCF.jpg
chien,222,Stabyhoun,Groupe 7,https://i.imgur.com/IjhUPHP.jpg
chien,165,Spinone Italiano,Groupe 7,https://i.imgur.com/IRjxHLU.jpg
chien,187,Braque Portugais,Groupe 7,https://i.imgur.com/c5uQaUT.jpg
chien,28,Chien d'Artois,Groupe 6,https://i.imgur.com/fIY5SVP.jpg
chien,37,Chien d'Eau Portugais,Groupe 8,https://i.imgur.com/HtIxp4R.jpg
chien,242,Chien d'Elan Norvégien Gris,Groupe 5,https://i.imgur.com/Pga42Lk.jpg
chien,268,Chien d'Elan Norvégien Noir,Groupe 5,https://i.imgur.com/fNJctlA.jpg
chien,48,Chien d'Ours de Carélie,Groupe 5,https://i.imgur.com/VCUFbia.jpg
chien,362,Chien de Bali,Groupe 5,https://i.imgur.com/R56TRby.jpg
chien,273,Chien de Canaan,Groupe 5,https://i.imgur.com/viUCotN.jpg
chien,170,Chien de Castro Laboreiro,Groupe 2,https://i.imgur.com/DDPvzgZ.jpg
chien,356,Chien de Ferme dano-suédois,Groupe 2,https://i.imgur.com/SRmLzDb.jpg
chien,94,Podengo Portugais,Groupe 5,https://i.imgur.com/D2fmfGo.jpg
chien,217,Chien de Rouge de Bavière,Groupe 6,https://i.imgur.com/kJWx0Kl.jpg
chien,213,Chien de Rouge de Hanovre,Groupe 6,https://i.imgur.com/bmkHwET.jpg
chien,348,Chien de Taiwan,Groupe 5,https://i.imgur.com/j7XUOPI.jpg
chien,274,Chien du Groenland,Groupe 5,https://i.imgur.com/hFmTCaH.jpg
chien,248,Chien du Pharaon,Groupe 5,https://i.imgur.com/Kg9xczt.jpg
chien,42,Jämthund,Groupe 5,https://i.imgur.com/Jxtvxuo.jpg
chien,189,Chien Finnois de Laponie,Groupe 5,https://i.imgur.com/RPhkIrt.jpg
chien,332,Chien Loup Tchécoslovaque,Groupe 1,https://i.imgur.com/2X35iwE.jpg
chien,288,Chien Chinois à Crête,Groupe 9,https://i.imgur.com/iNo04xR.jpg
chien,310,Chien Nu du Pérou,Groupe 5,https://i.imgur.com/xM4T5B5.jpg
chien,24,Poitevin,Groupe 6,https://i.imgur.com/S9NhZsk.jpg
